stage,years,rep,freq_hz,S_phi_Phi0^2_per_Hz,sqrt_S_phi_Phi0_per_sqrtHz
fresh,0.0,0,49.44446101158825,4.935851561824375e-07,0.000702556158739241
fresh,0.0,0,52.19718220435652,4.835663400694083e-07,0.00069538934423056
fresh,0.0,0,55.10315562821569,3.005504301230917e-07,0.0005482247988946612
fresh,0.0,0,58.170913293743574,5.11796128629107e-07,0.0007153992791645146
fresh,0.0,0,61.40946221409365,4.2541708284544594e-07,0.0006522400500164383
fresh,0.0,0,64.82831084981072,3.541883306776701e-07,0.0005951372368434612
fresh,0.0,0,68.43749702590877,4.055353980586779e-07,0.0006368166125806376
fresh,0.0,0,72.24761740317567,2.777313663808222e-07,0.0005270022451383127
fresh,0.0,0,76.26985859023443,3.018223257472304e-07,0.000549383587074851
fresh,0.0,0,80.51602998770538,3.0216559872715786e-07,0.000549695914781216
fresh,0.0,0,84.99859846090146,3.119809769659787e-07,0.0005585525731441748
fresh,0.0,0,89.73072494285637,3.1512684280549437e-07,0.000561361597195154
fresh,0.0,0,94.72630307515246,2.8100746176745457e-07,0.0005301013693318049
fresh,0.0,0,100.0,2.1960657356230402e-07,0.0004686219943219738
fresh,0.0,0,105.56729942333291,2.1008470726768283e-07,0.0004583499833835307
fresh,0.0,0,111.44454707535624,2.1862736747886878e-07,0.0004675760552881946
fresh,0.0,0,117.64899870201853,2.3563582815561294e-07,0.00048542334941328576
fresh,0.0,0,124.19887072831294,2.483185536527884e-07,0.0004983157168430356
fresh,0.0,0,131.1133937421563,1.440846988760592e-07,0.00037958490338270727
fresh,0.0,0,138.41286895587558,1.740210541331259e-07,0.0004171583082393612
fresh,0.0,0,146.11872781107488,1.5996015802431263e-07,0.00039995019442964723
fresh,0.0,0,154.25359490188222,1.5619849534939657e-07,0.0003952195533490171
fresh,0.0,0,162.841354401325,1.4482129449977718e-07,0.0003805539311316823
fresh,0.0,0,171.90722018585745,1.0144448202505348e-07,0.00031850350394470306
fresh,0.0,0,181.47780986393232,1.8168876590913097e-07,0.00042624965209268027
fresh,0.0,0,191.58122292596423,1.671924303557148e-07,0.00040889170981534315
fresh,0.0,0,202.24712324513558,1.0371180115001123e-07,0.0003220431665941869
fresh,0.0,0,213.5068261712694,1.1243810214501578e-07,0.0003353179120551358
fresh,0.0,0,225.3933904734789,9.896098163327371e-08,0.00031458064408554083
fresh,0.0,0,237.94171540153937,1.0788033026853228e-07,0.0003284514123405961
fresh,0.0,0,251.18864315095823,9.64187539013761e-08,0.0003105136935810981
fresh,0.0,0,265.1730670325793,8.559005727176532e-08,0.00029255778450037063
fresh,0.0,0,279.93604566431827,7.599845008612825e-08,0.0002756781639632132
fresh,0.0,0,295.52092352028876,7.901629372584281e-08,0.000281098370194213
fresh,0.0,0,311.9734581912619,9.349732890809412e-08,0.00030577332929491107
fresh,0.0,0,329.3419547300958,8.587710775553564e-08,0.000293047961527692
fresh,0.0,0,347.67740747657774,7.361072440086609e-08,0.00027131296393808035
fresh,0.0,0,367.03364977808,5.7534015130247104e-08,0.00023986249212881765
fresh,0.0,0,387.4675120456128,6.271383092414207e-08,0.0002504272966833729
fresh,0.0,0,409.0389886093306,6.57398154681911e-08,0.00025639776806398124
fresh,0.0,0,431.81141386338464,6.018068288082163e-08,0.00024531751441921474
fresh,0.0,0,455.85164821728745,5.7609116187443614e-08,0.000240018991305779
fresh,0.0,0,481.23027439974203,5.4701147322367325e-08,0.00023388276405577073
fresh,0.0,0,508.0218046913023,3.505983847393128e-08,0.0001872427260908452
fresh,0.0,0,536.3048996942865,6.506787893241309e-08,0.00025508406248218076
fresh,0.0,0,566.1625992822727,3.9864856422306395e-08,0.00019966185520100326
fresh,0.0,0,597.6825664072413,4.745152753285333e-08,0.00021783371532628582
fresh,0.0,0,630.957344480193,4.373956270566823e-08,0.00020914005523970828
fresh,0.0,0,666.0846290809154,4.1461773387155806e-08,0.0002036216427277705
fresh,0.0,0,703.1675547946463,3.18082690796184e-08,0.00017834872884217145
fresh,0.0,0,742.3149980177928,3.354147757952089e-08,0.0001831433252387891
fresh,0.0,0,783.6418966217527,2.9135568562272866e-08,0.00017069144255724383
fresh,0.0,0,827.2695874133706,3.2842273364278855e-08,0.0001812243729863035
fresh,0.0,0,873.3261623828437,2.4680529404223872e-08,0.00015710038002571437
fresh,0.0,0,921.9468447849993,2.7980697335931325e-08,0.00016727431762207648
fresh,0.0,0,973.2743861581504,3.092794165574259e-08,0.00017586341761646334
fresh,0.0,0,1027.45948544618,2.3443161798517013e-08,0.0001531115991638681
fresh,0.0,0,1084.6612314544045,2.2118503204728252e-08,0.0001487229074646144
fresh,0.0,0,1145.0475699382812,2.0386948690539434e-08,0.000142782872539179
fresh,0.0,0,1208.7957966963427,2.4310957969156283e-08,0.0001559197164221263
fresh,0.0,0,1276.0930781150905,1.6996063869054893e-08,0.00013036895285709283
fresh,0.0,0,1347.1370006941831,1.891974956082385e-08,0.00013754908055244806
fresh,0.0,0,1422.1361511653377,1.643877281998521e-08,0.0001282137778087254
fresh,0.0,0,1501.3107289081743,1.4834507287137319e-08,0.00012179699211038554
fresh,0.0,0,1584.893192461114,1.5812815316119255e-08,0.0001257490171576671
fresh,0.0,0,1673.1289420254443,1.4143504445063878e-08,0.00011892646654577726
fresh,0.0,0,1766.2770399664428,1.2639452342306187e-08,0.00011242531895576808
fresh,0.0,0,1864.6109714269562,1.5885759641059856e-08,0.0001260387227841502
fresh,0.0,0,1968.4194472866113,1.2816398512221322e-08,0.00011320953366312098
fresh,0.0,0,2078.007251824172,1.0816232296071657e-08,0.00010400111680204043
fresh,0.0,0,2193.6961375717947,9.145876186571317e-09,9.563407440118462e-05
fresh,0.0,0,2315.8257699885057,1.285096219005766e-08,0.00011336208444650998
fresh,0.0,0,2444.7547247264706,9.787491867895408e-09,9.893175358748781e-05
fresh,0.0,0,2580.861540418077,9.811740157269034e-09,9.905422836643086e-05
fresh,0.0,0,2724.5458300747932,9.496700859812078e-09,9.745101774641493e-05
fresh,0.0,0,2876.229454360988,1.0097769507427011e-08,0.0001004876584831541
fresh,0.0,0,3036.3577601873585,9.415529931198993e-09,9.70336536012068e-05
fresh,0.0,0,3205.400888260593,7.619114494658781e-09,8.728753917174422e-05
fresh,0.0,0,3383.8551534282333,8.017697063724615e-09,8.954159404279452e-05
fresh,0.0,0,3572.2445018714643,7.422552729409166e-09,8.615423802349579e-05
fresh,0.0,0,3771.1220494241957,6.740275001091639e-09,8.209917783444387e-05
fresh,0.0,0,3981.071705534969,5.759963202836291e-09,7.589442142105235e-05
fresh,0.0,0,4202.709887639688,5.009291819065865e-09,7.077635070463767e-05
fresh,0.0,0,4436.687330978607,5.501052151504912e-09,7.4169078135736e-05
fresh,0.0,0,4683.690999171273,4.627715317387713e-09,6.802731302489988e-05
fresh,0.0,0,4944.44610115883,5.151805027689576e-09,7.177607559409735e-05
fresh,0.0,0,5219.718220435652,4.049725698097069e-09,6.363745515101204e-05
fresh,0.0,0,5510.315562821569,5.6198018359911005e-09,7.496533756337725e-05
fresh,0.0,0,5817.091329374358,3.545332743316491e-09,5.954269680923506e-05
fresh,0.0,0,6140.946221409365,5.4457038155516725e-09,7.379501213192984e-05
fresh,0.0,0,6482.831084981072,4.3572468415436654e-09,6.600944509343845e-05
fresh,0.0,0,6843.749702590871,4.16185571179533e-09,6.451244617742634e-05
fresh,0.0,0,7224.76174031756,3.2908269138072704e-09,5.736572943672268e-05
fresh,0.0,0,7626.985859023436,3.0622945695735186e-09,5.533800294168121e-05
fresh,0.0,0,8051.602998770547,3.027926175714034e-09,5.5026595167373696e-05
fresh,0.0,0,8499.859846090154,3.0983776190845306e-09,5.56630723108645e-05
fresh,0.0,0,8973.072494285638,2.561974543354127e-09,5.06159514713902e-05
fresh,0.0,0,9472.630307515245,2.7647896239906835e-09,5.2581266854181856e-05
fresh,0.0,0,10000.0,2.462725916092278e-09,4.962585934865287e-05
fresh,0.0,1,0.01,0.0023537477048954218,0.048515437799688275
fresh,0.0,1,0.01055672994233329,0.002146316568808236,0.04632835599077779
fresh,0.0,1,0.01114445470753563,0.0019178941180870697,0.043793768027963406
fresh,0.0,1,0.011764899870201859,0.002078517156631747,0.04559075735970775
fresh,0.0,1,0.012419887072831308,0.0024382743426664085,0.04937888559563094
fresh,0.0,1,0.013111339374215644,0.0018092350592474266,0.042535103846675006
fresh,0.0,1,0.013841286895587572,0.0016646505478166273,0.040800129262253904
fresh,0.0,1,0.014611872781107479,0.0021884070975360073,0.04678041361014252
fresh,0.0,1,0.015425359490188214,0.0017704700445171694,0.042076953840756694
fresh,0.0,1,0.01628413544013249,0.00146555686171413,0.038282592149880994
fresh,0.0,1,0.017190722018585746,0.0015165899039631956,0.038943419263890985
fresh,0.0,1,0.018147780986393233,0.0018249063823499384,0.04271892300081942
fresh,0.0,1,0.019158122292596422,0.0013846935868468166,0.03721147117283616
fresh,0.0,1,0.020224712324513568,0.0012252522283839346,0.035003603077168134
fresh,0.0,1,0.021350682617126953,0.0012098452517601062,0.034782829841174596
fresh,0.0,1,0.022539339047347912,0.0010284557148855554,0.03206954497471948
fresh,0.0,1,0.023794171540153963,0.0007083932852819235,0.026615658648283035
fresh,0.0,1,0.025118864315095794,0.0011027113550283304,0.033207097961555306
fresh,0.0,1,0.026517306703257915,0.001039767406168079,0.0322454245772649
fresh,0.0,1,0.02799360456643181,0.001049286611428641,0.032392693797037644
fresh,0.0,1,0.029552092352028877,0.0009494974100013653,0.03081391584984559
fresh,0.0,1,0.031197345819126192,0.0006850293465168573,0.026173065286986492
fresh,0.0,1,0.032934195473009575,0.000816752314294572,0.02857887881451216
fresh,0.0,1,0.034767740747657774,0.0006502821400990188,0.025500630190232923
fresh,0.0,1,0.036703364977808024,0.00060611464225481,0.02461939565169726
fresh,0.0,1,0.03874675120456132,0.00069448261874063,0.02635303813112693
fresh,0.0,1,0.040903898860933104,0.0006652183812713764,0.025791827800126465
fresh,0.0,1,0.04318114138633851,0.000678410201674493,0.026046308791736555
fresh,0.0,1,0.045585164821728696,0.0005408033940649065,0.023255179940497268
